city,fig,kumquat,mandarine,papaya,raisin,clementine,goji_berry,pomelo,berry,honeydew,blackcurrant,elderberry,apple,apricot,orange,longan,lychee,pomegranate,prune,damson,dragonfruit,tamarillo,coconut,cucumber,guava,plum,miracle_fruit,durian,kiwano,poznan,blood_orange,grape,nectarine,peach,quince,pineapple,blackberry,cranberry,cantaloupe,blueberry,wild_strawberry,melon,kiwi,passionfruit,jackfruit,mulberry,lemon,jambul,mango,grapefruit,lime,raspberry,jujube,star_fruit,redcurrant,tangerine,cherry,pear,currant,banana,cloudberry,nance,plumcot,watermelon,mangosteen,strawberry
fig,NA,154,491,415,127,383,428,487,505,600,631,416,460,268,364,600,374,356,576,505,121,210,297,406,238,477,203,297,274,466,336,94,443,480,296,61,414,237,587,270,675,675,244,347,369,572,162,322,504,186,588,477,480,429,440,408,451,499,408,421,439,416,431,437,431,482
kumquat,154,NA,542,400,281,410,335,395,461,608,630,445,490,365,390,585,445,545,610,510,295,75,215,510,235,505,113,330,275,485,470,295,512,530,430,170,485,274,525,116,660,710,370,480,350,605,190,315,535,340,615,370,408,483,479,478,505,548,497,491,477,481,496,507,488,531
mandarine,491,542,NA,460,408,130,595,595,601,495,340,300,55,225,340,640,85,308,300,325,340,540,260,150,535,145,514,215,355,400,340,295,66,70,255,480,75,293,660,674,600,728,265,170,420,280,400,360,230,385,385,473,694,69.2,77.9,78.4,93.2,56,53.4,61.2,116,65.7,71.7,43.7,98.1,56.7
papaya,415,400,460,NA,489,330,175,170,191,210,375,180,405,345,120,185,477,539,375,205,420,315,205,520,200,340,290,275,150,130,590,315,425,444,525,355,398,250,200,408,260,312,456,460,45,340,255,105,275,517,260,76.099999999999994,188,398,394,393,420,463,412,406,392,396,411,422,403,446
raisin,127,281,408,489,NA,356,555,584,621,594,609,403,393,246,428,673,321,254,554,528,68,323,330,353,455,475,316,275,348,460,205,172,444,481,243,184,414,287,661,397,698,835,179,294,443,550,236,396,482,59,611,540,661,440,449,407,460,500,413,420,450,437,443,438,465,483
clementine,383,410,130,330,356,NA,500,450,469,435,300,195,75,135,209,490,150,331,250,275,290,360,129,250,400,95,335,80,229,280,385,185,95,127,315,320,67,159,570,646,550,631,217,237,320,240,220,380,180,369,335,354,475,69.4,64.6,64.5,90,134,82.8,76.6,63,67.2,82.3,93.1,73.9,118
goji_berry,428,335,595,175,555,500,NA,60,96,355,520,350,580,495,295,260,630,626,455,355,485,260,375,675,100,515,225,280,280,305,695,420,590,609,625,365,535,305,195,309,405,441,536,615,180,540,320,235,470,558,435,160,71.099999999999994,562,557,557,584,627,579,569,556,560,575,528,567,610
pomelo,487,395,595,170,584,450,60,NA,36,315,570,300,530,505,245,205,610,653,505,405,515,320,340,680,160,515,284,410,285,330,750,450,592,558,685,425,512,357,135,368,365,354,576,620,180,570,341,235,485,601,425,109,12.8,511,506,506,532,524,524,518,505,509,524,535,516,559
berry,505,461,601,191,621,469,96,36,NA,361,689,361,541,493,316,181,610,676,654,418,597,346,361,655,217,563,323,395,294,362,738,494,562,581,648,441,533,379,109,412,343,341,593,617,194,660,374,245,579,633,505,133,10,537,532,532,558,602,551,544,531,535,540,561,541,585
honeydew,600,608,495,210,594,435,355,315,361,NA,255,245,465,465,235,225,585,729,215,210,580,545,345,650,410,355,509,370,340,135,710,475,456,463,645,540,474,404,295,616,105,200,619,580,255,280,440,295,270,664,110,282,344,466,456,485,438,490,490,479,458,477,465,488,445,473
